Event,Start time,End time,Event Description/Agenda,Venue,Street Address,Latitude,Longitude,Location,Event Info Url,Classification,Audience
Council Briefing,06/26/2017 09:30:00 AM,06/26/2017 09:30:00 AM,Council Briefing,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552000,,
Full Council,06/26/2017 02:00:00 PM,06/26/2017 02:00:00 PM,Full Council,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552052,,
Seattle Park District Board - (or after Full Council),06/26/2017 02:30:00 PM,06/26/2017 02:30:00 PM,Seattle Park District Board -  (or after Full Council),Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d123892723,,
"Planning, Land Use & Zoning Committee - Public Hearing - Special Meeting",06/26/2017 06:00:00 PM,06/26/2017 06:00:00 PM,"Planning, Land Use & Zoning Committee - Public Hearing - Special Meeting",Garfield High School,400 23rd Avenue,47.60598,-122.30156,"(47.60598, -122.30156)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d123717200,,
"Civil Rights, Utilities, Economic Development & Arts Committee",06/27/2017 09:30:00 AM,06/27/2017 09:30:00 AM,"Civil Rights, Utilities, Economic Development & Arts Committee",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d121690754,,
Energy & Environment,06/27/2017 02:00:00 PM,06/27/2017 02:00:00 PM,Energy & Environment,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551802,,
"Gender Equity, Safe Communities, & New Americans Committee - Special Meeting - Public Hearing",06/27/2017 06:00:00 PM,06/27/2017 06:00:00 PM,"Gender Equity, Safe Communities, & New Americans Committee - Special Meeting - Public Hearing",University of Washington,"Kane Hall, Room 130",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d124138118,,
"Gender Equity, Safe Communities & New Americans",06/28/2017 09:30:00 AM,06/28/2017 09:30:00 AM,"Gender Equity, Safe Communities & New Americans",Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551747,,
Human Services & Public Health Committee,06/28/2017 02:00:00 PM,06/28/2017 02:00:00 PM,Human Services & Public Health Committee,Council Chambers,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117551853,,
Sustainability & Transportation Committee - Special Meeting,06/29/2017 02:00:00 PM,06/29/2017 02:00:00 PM,Sustainability & Transportation Committee - Special Meeting,Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d124010447,,
"Affordable Housing, Neigborhoods & Finance Committee- Special Meeting",06/30/2017 01:00:00 PM,06/30/2017 01:00:00 PM,"Affordable Housing, Neigborhoods & Finance Committee- Special Meeting",Council Chambers,"600 Fourth Ave., Floor 2",,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d124067382,,
CANCELED - Council Briefing,07/03/2017 09:30:00 AM,07/03/2017 09:30:00 AM,CANCELED - Council Briefing,,,,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552001,,
CANCELED - Full Council,07/03/2017 02:00:00 PM,07/03/2017 02:00:00 PM,CANCELED - Full Council,,,,,,http://www.seattle.gov/council/calendar/default.htm?trumbaEmbed=view%3devent%26eventid%3d117552053,,
